iter	Passed	Remaining
0	0	90
1	1	79
2	2	69
3	2	64
4	3	61
5	3	58
6	4	57
7	4	55
8	5	53
9	5	52
10	6	51
11	7	51
12	7	51
13	8	50
14	8	50
15	9	49
16	9	48
17	10	47
18	11	46
19	11	46
20	12	45
21	12	44
22	13	44
23	13	43
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	37
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	54	0
