iter	Passed	Remaining
0	173	173634
1	174	87077
2	175	58171
3	175	43708
4	176	35045
5	176	29258
6	177	25123
7	177	22020
8	178	19609
9	178	17678
10	179	16098
11	179	14782
12	180	13668
13	180	12718
14	181	11908
15	181	11184
16	182	10546
17	182	9978
18	183	9470
19	183	9013
20	184	8600
21	185	8224
22	185	7881
23	186	7566
24	186	7279
25	187	7014
26	187	6767
27	188	6536
28	188	6321
29	189	6121
30	189	5933
31	190	5757
32	190	5591
33	191	5435
34	191	5287
35	192	5148
36	192	5020
37	193	4896
38	193	4777
39	194	4665
40	194	4558
41	195	4457
42	195	4361
43	196	4269
44	197	4180
45	197	4096
46	198	4015
47	198	3943
48	199	3870
49	199	3799
50	200	3730
51	201	3664
52	201	3601
53	202	3540
54	202	3481
55	203	3423
56	203	3367
57	204	3314
58	204	3262
59	205	3213
60	205	3164
61	206	3118
62	206	3073
63	207	3028
64	207	2986
65	208	2944
66	208	2904
67	209	2864
68	209	2826
69	209	2789
70	210	2754
71	211	2720
72	211	2686
73	211	2652
74	212	2620
75	213	2590
76	213	2559
77	214	2529
78	214	2500
79	214	2472
80	215	2445
81	216	2418
82	216	2390
83	228	2493
84	229	2468
85	229	2443
86	230	2419
87	231	2394
88	231	2370
89	232	2346
90	232	2322
91	233	2299
92	233	2277
93	233	2255
94	234	2233
95	234	2212
96	235	2191
97	235	2171
98	236	2152
99	237	2133
100	237	2114
101	237	2095
102	238	2076
103	238	2058
104	239	2041
105	239	2023
106	240	2006
107	240	1989
108	241	1972
109	242	1960
110	242	1945
111	243	1930
112	243	1914
113	244	1899
114	244	1884
115	245	1869
116	245	1854
117	246	1840
118	246	1826
119	247	1812
120	247	1799
121	248	1784
122	248	1771
123	249	1760
124	249	1748
125	250	1736
126	250	1724
127	251	1712
128	251	1700
129	252	1689
130	252	1677
131	253	1666
132	253	1655
133	254	1644
134	255	1635
135	255	1625
136	256	1615
137	256	1605
138	257	1595
139	258	1585
140	258	1575
141	258	1564
142	259	1555
143	260	1545
144	260	1538
145	261	1529
146	262	1520
147	262	1511
148	263	1502
149	263	1493
150	264	1484
151	264	1476
152	265	1467
153	265	1458
154	265	1449
155	266	1441
156	267	1434
157	267	1425
158	268	1417
159	268	1409
160	268	1401
161	269	1393
162	269	1386
163	270	1378
164	270	1371
165	271	1363
166	271	1356
167	272	1348
168	272	1341
169	273	1335
170	273	1328
171	274	1321
172	274	1314
173	275	1307
174	275	1300
175	276	1293
176	276	1287
177	277	1280
178	277	1273
179	278	1267
180	278	1261
181	279	1255
182	279	1249
183	280	1242
184	280	1236
185	281	1230
186	281	1224
187	282	1219
188	283	1214
189	283	1208
190	284	1203
191	284	1197
192	285	1192
193	285	1187
194	286	1181
195	286	1176
196	287	1170
197	287	1165
198	288	1159
199	288	1154
200	289	1149
201	289	1144
202	290	1138
203	290	1133
204	291	1129
205	291	1124
206	292	1119
207	292	1114
208	293	1109
209	293	1104
210	294	1099
211	294	1094
212	295	1090
213	295	1085
214	296	1081
215	296	1077
216	297	1073
217	297	1068
218	298	1064
219	298	1059
220	299	1055
221	299	1050
222	300	1046
223	300	1042
224	301	1038
225	301	1033
226	302	1029
227	302	1025
228	303	1021
229	303	1017
230	304	1013
231	304	1009
232	305	1005
233	305	1000
234	306	996
235	306	992
236	307	989
237	307	985
238	308	981
239	308	977
240	309	973
241	309	969
242	310	965
243	310	962
244	311	958
245	311	954
246	311	951
247	312	947
248	312	943
249	313	940
250	313	936
251	314	932
252	314	929
253	315	925
254	315	922
255	316	918
256	316	915
257	317	912
258	317	908
259	318	905
260	318	902
261	319	898
262	319	895
263	319	892
264	320	888
265	320	885
266	321	882
267	321	878
268	322	875
269	322	872
270	323	869
271	323	866
272	324	863
273	324	860
274	325	857
275	325	854
276	326	851
277	326	848
278	327	845
279	327	842
280	328	839
281	328	836
282	329	833
283	329	831
284	330	828
285	330	825
286	331	822
287	331	819
288	332	816
289	332	814
290	332	811
291	333	808
292	333	805
293	334	803
294	334	800
295	335	797
296	335	795
297	336	792
298	336	789
299	337	787
300	337	784
301	338	782
302	338	779
303	339	776
304	339	774
305	340	771
306	340	769
307	341	766
308	341	764
309	342	761
310	342	759
311	343	757
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	347	742
319	348	740
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	724
327	353	723
328	353	721
329	354	719
330	354	717
331	355	714
332	355	712
333	356	710
334	356	708
335	357	705
336	357	703
337	358	701
338	358	699
339	359	697
340	359	695
341	360	693
342	360	690
343	361	688
344	361	686
345	362	684
346	362	682
347	363	680
348	363	678
349	364	676
350	364	674
351	365	672
352	365	670
353	366	668
354	366	666
355	367	664
356	367	662
357	368	660
358	368	658
359	369	656
360	369	654
361	370	652
362	370	650
363	371	648
364	371	646
365	372	644
366	372	642
367	373	640
368	373	638
369	374	636
370	374	635
371	375	633
372	375	631
373	376	629
374	376	627
375	377	625
376	377	623
377	378	622
378	378	620
379	379	619
380	380	617
381	380	615
382	381	614
383	381	612
384	382	610
385	383	610
386	384	608
387	384	606
388	385	605
389	385	603
390	386	601
391	386	599
392	387	598
393	387	596
394	388	594
395	388	592
396	389	591
397	389	589
398	390	587
399	390	586
400	391	584
401	392	584
402	393	582
403	393	580
404	394	579
405	394	577
406	395	575
407	395	574
408	396	572
409	396	570
410	397	569
411	397	567
412	398	565
413	398	564
414	399	562
415	399	560
416	399	559
417	400	557
418	400	555
419	401	554
420	401	552
421	402	551
422	402	549
423	403	548
424	403	546
425	404	544
426	404	543
427	405	541
428	405	540
429	406	538
430	406	537
431	407	535
432	408	534
433	408	532
434	409	531
435	409	529
436	410	528
437	410	526
438	411	525
439	411	523
440	411	522
441	412	520
442	412	519
443	413	517
444	414	516
445	414	514
446	415	513
447	415	511
448	415	510
449	416	508
450	416	507
451	417	505
452	417	504
453	418	503
454	418	501
455	419	500
456	420	499
457	420	497
458	421	496
459	421	495
460	422	493
461	422	492
462	423	490
463	423	489
464	424	488
465	424	486
466	425	485
467	425	484
468	426	483
469	427	481
470	427	480
471	428	479
472	428	477
473	429	476
474	429	474
475	430	473
476	430	472
477	431	470
478	431	469
479	431	467
480	432	467
481	433	465
482	434	464
483	434	463
484	434	461
485	435	460
486	435	459
487	436	457
488	436	456
489	437	455
490	437	454
491	438	452
492	439	451
493	439	450
494	440	449
495	440	447
496	441	446
497	441	445
498	441	443
499	442	442
500	442	441
501	443	439
502	443	438
503	444	437
504	445	436
505	445	435
506	446	433
507	446	432
508	447	431
509	447	430
510	448	428
511	448	427
512	449	426
513	449	425
514	450	423
515	450	422
516	451	421
517	451	420
518	452	419
519	452	417
520	453	416
521	453	415
522	454	414
523	454	412
524	455	411
525	455	410
526	456	409
527	456	408
528	457	407
529	457	405
530	458	404
531	458	403
532	459	402
533	459	401
534	460	400
535	460	398
536	461	397
537	461	396
538	462	395
539	462	394
540	463	393
541	464	392
542	464	390
543	465	389
544	465	388
545	466	387
546	466	386
547	466	385
548	467	384
549	467	382
550	468	381
551	468	380
552	469	379
553	469	378
554	470	377
555	470	376
556	471	374
557	471	373
558	472	372
559	472	371
560	473	370
561	473	369
562	474	367
563	474	366
564	475	365
565	475	364
566	476	363
567	476	362
568	476	361
569	477	360
570	477	359
571	478	357
572	478	356
573	479	355
574	479	354
575	480	353
576	480	352
577	481	351
578	481	350
579	482	349
580	482	348
581	483	347
582	483	346
583	484	344
584	484	343
585	485	342
586	485	341
587	486	340
588	486	339
589	487	338
590	487	337
591	488	336
592	488	335
593	489	334
594	489	333
595	490	332
596	490	331
597	491	330
598	492	329
599	492	328
600	492	327
601	493	326
602	493	325
603	494	324
604	494	323
605	495	322
606	495	321
607	496	320
608	496	319
609	497	317
610	497	316
611	498	315
612	498	314
613	499	313
614	499	312
615	500	311
616	500	310
617	501	309
618	501	308
619	502	307
620	502	306
621	503	305
622	503	304
623	504	303
624	504	302
625	505	301
626	505	300
627	506	299
628	506	298
629	507	297
630	507	296
631	508	295
632	508	294
633	509	293
634	509	292
635	510	291
636	510	290
637	511	289
638	511	289
639	512	288
640	512	287
641	513	286
642	513	285
643	514	284
644	514	283
645	515	282
646	515	281
647	516	280
648	516	279
649	517	278
650	517	277
651	518	276
652	518	275
653	519	274
654	520	274
655	521	273
656	521	272
657	522	271
658	522	270
659	523	269
660	523	268
661	524	267
662	524	266
663	525	265
664	525	264
665	526	263
666	526	263
667	527	262
668	527	261
669	528	260
670	528	259
671	529	258
672	529	257
673	530	256
674	531	255
675	531	254
676	532	253
677	532	252
678	533	252
679	533	251
680	534	250
681	534	249
682	535	248
683	535	247
684	536	246
685	536	245
686	537	244
687	537	243
688	538	242
689	538	241
690	539	241
691	539	240
692	540	239
693	540	238
694	541	237
695	541	236
696	542	235
697	542	234
698	543	233
699	543	232
700	544	232
701	544	231
702	545	230
703	545	229
704	545	228
705	546	227
706	546	226
707	547	225
708	547	224
709	548	223
710	548	223
711	549	222
712	549	221
713	550	220
714	550	219
715	551	218
716	551	217
717	552	216
718	552	215
719	553	215
720	553	214
721	553	213
722	554	212
723	554	211
724	556	211
725	556	210
726	557	209
727	557	208
728	558	207
729	558	206
730	559	205
731	559	204
732	560	204
733	560	203
734	561	202
735	561	201
736	562	200
737	562	199
738	563	198
739	563	198
740	564	197
741	564	196
742	565	195
743	565	194
744	566	193
745	566	192
746	567	192
747	567	191
748	568	190
749	568	189
750	568	188
751	569	187
752	570	187
753	570	186
754	571	185
755	571	184
756	572	183
757	572	182
758	573	182
759	573	181
760	574	180
761	574	179
762	575	178
763	575	177
764	576	176
765	576	176
766	577	175
767	577	174
768	577	173
769	578	172
770	578	171
771	579	171
772	579	170
773	580	169
774	580	168
775	581	167
776	581	166
777	582	166
778	582	165
779	583	164
780	583	163
781	584	162
782	584	161
783	584	161
784	585	160
785	585	159
786	586	158
787	586	157
788	587	157
789	587	156
790	588	155
791	588	154
792	589	153
793	589	153
794	590	152
795	590	151
796	591	150
797	591	149
798	592	149
799	592	148
800	593	147
801	593	146
802	594	145
803	594	144
804	595	144
805	595	143
806	596	142
807	596	141
808	597	140
809	597	140
810	598	139
811	598	138
812	599	137
813	599	137
814	600	136
815	600	135
816	601	134
817	601	133
818	601	133
819	602	132
820	602	131
821	603	130
822	603	129
823	604	129
824	604	128
825	605	127
826	605	126
827	606	125
828	606	125
829	607	124
830	607	123
831	608	122
832	608	122
833	609	121
834	609	120
835	610	119
836	610	118
837	611	118
838	611	117
839	612	116
840	612	115
841	613	115
842	613	114
843	614	113
844	614	112
845	614	111
846	615	111
847	615	110
848	616	109
849	616	108
850	617	108
851	617	107
852	618	106
853	618	105
854	619	105
855	619	104
856	620	103
857	620	102
858	621	101
859	621	101
860	622	100
861	622	99
862	623	98
863	623	98
864	624	97
865	624	96
866	625	95
867	625	95
868	626	94
869	626	93
870	627	92
871	627	92
872	628	91
873	629	90
874	630	90
875	630	89
876	631	88
877	632	87
878	632	87
879	633	86
880	633	85
881	634	84
882	634	84
883	635	83
884	635	82
885	636	81
886	636	81
887	637	80
888	637	79
889	638	78
890	638	78
891	639	77
892	639	76
893	640	75
894	640	75
895	641	74
896	641	73
897	642	72
898	642	72
899	643	71
900	643	70
901	644	69
902	644	69
903	645	68
904	645	67
905	646	67
906	646	66
907	646	65
908	647	64
909	648	64
910	648	63
911	648	62
912	649	61
913	649	61
914	650	60
915	650	59
916	651	58
917	651	58
918	652	57
919	652	56
920	653	56
921	653	55
922	654	54
923	654	53
924	655	53
925	655	52
926	656	51
927	656	50
928	657	50
929	657	49
930	658	48
931	658	48
932	659	47
933	659	46
934	660	45
935	660	45
936	661	44
937	661	43
938	662	43
939	662	42
940	663	41
941	663	40
942	664	40
943	664	39
944	665	38
945	665	38
946	666	37
947	666	36
948	667	35
949	667	35
950	668	34
951	669	33
952	669	33
953	670	32
954	670	31
955	671	30
956	671	30
957	672	29
958	672	28
959	673	28
960	673	27
961	673	26
962	674	25
963	674	25
964	675	24
965	675	23
966	676	23
967	676	22
968	677	21
969	677	20
970	678	20
971	678	19
972	679	18
973	679	18
974	680	17
975	680	16
976	681	16
977	681	15
978	682	14
979	682	13
980	683	13
981	683	12
982	684	11
983	684	11
984	685	10
985	685	9
986	686	9
987	686	8
988	686	7
989	687	6
990	687	6
991	688	5
992	688	4
993	689	4
994	689	3
995	690	2
996	690	2
997	691	1
998	692	0
999	692	0
